year,month,passengers,passengers_capped,season
1949,Jan,112,112,Off-Peak (Winter)
1949,Feb,118,118,Off-Peak (Winter)
1949,Mar,132,132,Shoulder (Spring/Late Fall)
1949,Apr,129,129,Shoulder (Spring/Late Fall)
1949,May,121,121,Peak (Summer/Early Fall)
1949,Jun,135,135,Peak (Summer/Early Fall)
1949,Jul,148,148,Peak (Summer/Early Fall)
1949,Aug,148,148,Peak (Summer/Early Fall)
1949,Sep,136,136,Peak (Summer/Early Fall)
1949,Oct,119,119,Shoulder (Spring/Late Fall)
1949,Nov,104,104,Shoulder (Spring/Late Fall)
1949,Dec,118,118,Off-Peak (Winter)
1950,Jan,115,115,Off-Peak (Winter)
1950,Feb,126,126,Off-Peak (Winter)
1950,Mar,141,141,Shoulder (Spring/Late Fall)
1950,Apr,135,135,Shoulder (Spring/Late Fall)
1950,May,125,125,Peak (Summer/Early Fall)
1950,Jun,149,149,Peak (Summer/Early Fall)
1950,Jul,170,170,Peak (Summer/Early Fall)
1950,Aug,170,170,Peak (Summer/Early Fall)
1950,Sep,158,158,Peak (Summer/Early Fall)
1950,Oct,133,133,Shoulder (Spring/Late Fall)
1950,Nov,114,114,Shoulder (Spring/Late Fall)
1950,Dec,140,140,Off-Peak (Winter)
1951,Jan,145,145,Off-Peak (Winter)
1951,Feb,150,150,Off-Peak (Winter)
1951,Mar,178,178,Shoulder (Spring/Late Fall)
1951,Apr,163,163,Shoulder (Spring/Late Fall)
1951,May,172,172,Peak (Summer/Early Fall)
1951,Jun,178,178,Peak (Summer/Early Fall)
1951,Jul,199,199,Peak (Summer/Early Fall)
1951,Aug,199,199,Peak (Summer/Early Fall)
1951,Sep,184,184,Peak (Summer/Early Fall)
1951,Oct,162,162,Shoulder (Spring/Late Fall)
1951,Nov,146,146,Shoulder (Spring/Late Fall)
1951,Dec,166,166,Off-Peak (Winter)
1952,Jan,171,171,Off-Peak (Winter)
1952,Feb,180,180,Off-Peak (Winter)
1952,Mar,193,193,Shoulder (Spring/Late Fall)
1952,Apr,181,181,Shoulder (Spring/Late Fall)
1952,May,183,183,Peak (Summer/Early Fall)
1952,Jun,218,218,Peak (Summer/Early Fall)
1952,Jul,230,230,Peak (Summer/Early Fall)
1952,Aug,242,242,Peak (Summer/Early Fall)
1952,Sep,209,209,Peak (Summer/Early Fall)
1952,Oct,191,191,Shoulder (Spring/Late Fall)
1952,Nov,172,172,Shoulder (Spring/Late Fall)
1952,Dec,194,194,Off-Peak (Winter)
1953,Jan,196,196,Off-Peak (Winter)
1953,Feb,196,196,Off-Peak (Winter)
1953,Mar,236,236,Shoulder (Spring/Late Fall)
1953,Apr,235,235,Shoulder (Spring/Late Fall)
1953,May,229,229,Peak (Summer/Early Fall)
1953,Jun,243,243,Peak (Summer/Early Fall)
1953,Jul,264,264,Peak (Summer/Early Fall)
1953,Aug,272,272,Peak (Summer/Early Fall)
1953,Sep,237,237,Peak (Summer/Early Fall)
1953,Oct,211,211,Shoulder (Spring/Late Fall)
1953,Nov,180,180,Shoulder (Spring/Late Fall)
1953,Dec,201,201,Off-Peak (Winter)
1954,Jan,204,204,Off-Peak (Winter)
1954,Feb,188,188,Off-Peak (Winter)
1954,Mar,235,235,Shoulder (Spring/Late Fall)
1954,Apr,227,227,Shoulder (Spring/Late Fall)
1954,May,234,234,Peak (Summer/Early Fall)
1954,Jun,264,264,Peak (Summer/Early Fall)
1954,Jul,302,302,Peak (Summer/Early Fall)
1954,Aug,293,293,Peak (Summer/Early Fall)
1954,Sep,259,259,Peak (Summer/Early Fall)
1954,Oct,229,229,Shoulder (Spring/Late Fall)
1954,Nov,203,203,Shoulder (Spring/Late Fall)
1954,Dec,229,229,Off-Peak (Winter)
1955,Jan,242,242,Off-Peak (Winter)
1955,Feb,233,233,Off-Peak (Winter)
1955,Mar,267,267,Shoulder (Spring/Late Fall)
1955,Apr,269,269,Shoulder (Spring/Late Fall)
1955,May,270,270,Peak (Summer/Early Fall)
1955,Jun,315,315,Peak (Summer/Early Fall)
1955,Jul,364,364,Peak (Summer/Early Fall)
1955,Aug,347,347,Peak (Summer/Early Fall)
1955,Sep,312,312,Peak (Summer/Early Fall)
1955,Oct,274,274,Shoulder (Spring/Late Fall)
1955,Nov,237,237,Shoulder (Spring/Late Fall)
1955,Dec,278,278,Off-Peak (Winter)
1956,Jan,284,284,Off-Peak (Winter)
1956,Feb,277,277,Off-Peak (Winter)
1956,Mar,317,317,Shoulder (Spring/Late Fall)
1956,Apr,313,313,Shoulder (Spring/Late Fall)
1956,May,318,318,Peak (Summer/Early Fall)
1956,Jun,374,374,Peak (Summer/Early Fall)
1956,Jul,413,413,Peak (Summer/Early Fall)
1956,Aug,405,405,Peak (Summer/Early Fall)
1956,Sep,355,355,Peak (Summer/Early Fall)
1956,Oct,306,306,Shoulder (Spring/Late Fall)
1956,Nov,271,271,Shoulder (Spring/Late Fall)
1956,Dec,306,306,Off-Peak (Winter)
1957,Jan,315,315,Off-Peak (Winter)
1957,Feb,301,301,Off-Peak (Winter)
1957,Mar,356,356,Shoulder (Spring/Late Fall)
1957,Apr,348,348,Shoulder (Spring/Late Fall)
1957,May,355,355,Peak (Summer/Early Fall)
1957,Jun,422,422,Peak (Summer/Early Fall)
1957,Jul,465,465,Peak (Summer/Early Fall)
1957,Aug,467,467,Peak (Summer/Early Fall)
1957,Sep,404,404,Peak (Summer/Early Fall)
1957,Oct,347,347,Shoulder (Spring/Late Fall)
1957,Nov,305,305,Shoulder (Spring/Late Fall)
1957,Dec,336,336,Off-Peak (Winter)
1958,Jan,340,340,Off-Peak (Winter)
1958,Feb,318,318,Off-Peak (Winter)
1958,Mar,362,362,Shoulder (Spring/Late Fall)
