mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,horsepower_capped,fuel_economy_type
18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,130.0,Low Economy (<20 MPG)
15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,165.0,Low Economy (<20 MPG)
18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,150.0,Low Economy (<20 MPG)
16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,150.0,Low Economy (<20 MPG)
17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,140.0,Low Economy (<20 MPG)
15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,198.0,Low Economy (<20 MPG)
14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,198.5,Low Economy (<20 MPG)
14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,198.5,Low Economy (<20 MPG)
14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,198.5,Low Economy (<20 MPG)
15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,190.0,Low Economy (<20 MPG)
15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,170.0,Low Economy (<20 MPG)
14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,160.0,Low Economy (<20 MPG)
15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,150.0,Low Economy (<20 MPG)
14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),198.5,Low Economy (<20 MPG)
24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii,95.0,Mid Economy (20-30 MPG)
22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster,95.0,Mid Economy (20-30 MPG)
18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet,97.0,Low Economy (<20 MPG)
21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick,85.0,Mid Economy (20-30 MPG)
27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,88.0,Mid Economy (20-30 MPG)
26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,46.0,Mid Economy (20-30 MPG)
25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504,87.0,Mid Economy (20-30 MPG)
24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls,90.0,Mid Economy (20-30 MPG)
25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e,95.0,Mid Economy (20-30 MPG)
26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,113.0,Mid Economy (20-30 MPG)
21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin,90.0,Mid Economy (20-30 MPG)
10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,198.5,Low Economy (<20 MPG)
10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,198.5,Low Economy (<20 MPG)
11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,198.5,Low Economy (<20 MPG)
9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,193.0,Low Economy (<20 MPG)
27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,88.0,Mid Economy (20-30 MPG)
28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,90.0,Mid Economy (20-30 MPG)
25.0,4,113.0,95.0,2228,14.0,71,japan,toyota corona,95.0,Mid Economy (20-30 MPG)
25.0,4,98.0,104.46938775510205,2046,19.0,71,usa,ford pinto,104.46938775510205,Mid Economy (20-30 MPG)
19.0,6,232.0,100.0,2634,13.0,71,usa,amc gremlin,100.0,Low Economy (<20 MPG)
16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom,105.0,Low Economy (<20 MPG)
17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu,100.0,Low Economy (<20 MPG)
19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500,88.0,Low Economy (<20 MPG)
18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador,100.0,Low Economy (<20 MPG)
14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,165.0,Low Economy (<20 MPG)
14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,175.0,Low Economy (<20 MPG)
14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,153.0,Low Economy (<20 MPG)
14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,150.0,Low Economy (<20 MPG)
12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),180.0,Low Economy (<20 MPG)
13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),170.0,Low Economy (<20 MPG)
13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),175.0,Low Economy (<20 MPG)
18.0,6,258.0,110.0,2962,13.5,71,usa,amc hornet sportabout (sw),110.0,Low Economy (<20 MPG)
22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw),72.0,Mid Economy (20-30 MPG)
19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird,100.0,Low Economy (<20 MPG)
18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang,88.0,Low Economy (<20 MPG)
23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000,86.0,Mid Economy (20-30 MPG)
28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,90.0,Mid Economy (20-30 MPG)
30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,70.0,High Economy (>30 MPG)
30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,76.0,High Economy (>30 MPG)
