species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,body_mass_g_capped,flipper_bill_ratio
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,3750.0,4.6291560102301785
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,3800.0,4.708860759493671
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,3250.0,4.838709677419355
Adelie,Torgersen,43.9219298245614,17.151169590643278,200.91520467836258,4201.754385964912,Male,4201.754385964912,4.5743710597618055
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,3450.0,5.258855585831062
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,3650.0,4.8346055979643765
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,3625.0,4.652956298200515
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,4675.0,4.974489795918367
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Male,3475.0,5.6598240469208205
Adelie,Torgersen,42.0,20.2,190.0,4250.0,Male,4250.0,4.523809523809524
Adelie,Torgersen,37.8,17.1,186.0,3300.0,Male,3300.0,4.920634920634921
Adelie,Torgersen,37.8,17.3,180.0,3700.0,Male,3700.0,4.761904761904762
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,3200.0,4.428223844282238
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,3800.0,4.948186528497409
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,4400.0,5.722543352601156
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,3700.0,5.054644808743169
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,3450.0,5.038759689922481
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,4500.0,4.635294117647059
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,3325.0,5.348837209302326
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,4200.0,4.217391304347826
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,3400.0,4.603174603174604
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,3600.0,4.774535809018567
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,3800.0,5.264623955431755
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,3950.0,4.842931937172774
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,3800.0,4.639175257731959
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,3800.0,5.2974504249291785
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,3550.0,4.5073891625615765
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,3200.0,4.617283950617284
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,3150.0,4.538258575197889
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,3950.0,4.444444444444445
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,3250.0,4.506329113924051
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,3900.0,4.784946236559139
